マルコ,見出し,マタイ,,ルカ,,ヨハネ,,
1:1-8,洗礼者ヨハネ、悔い改めの洗礼を宣べ伝える,3:1-12,,3:1-9,,1:19-28,,
1:9-11,イエス、洗礼を受ける,3:13-17,,3:21-22,,,,
1:12-13,試みを受ける,4:1-11,,4:1-13,,,,
1:14-15,ガリラヤで宣教を始める,4:12-17,,4:14-15,,,,
1:16-20,四人の漁師を弟子にする,4:18-22,,5:1-11,,,,
1:21-28,汚れた霊に取りつかれた男を癒やす,,,4:31-37,,,,
1:29-34,多くの病人を癒やす,8:14-17,,4:38-41,,,,
1:35-39,巡回して宣教する,,,4:42-44,,,,
1:40-45,規定の病を患っている人を清める,8:1-4,,5:12-16,,,,
2:1-12,体の麻痺した人を癒やす,9:1-8,,5:17-26,,,,
2:13-17,レビを弟子にする,9:9-13,,5:27-32,,,,
2:18-22,断食についての問答,9:14-17,,5:33-39,,,,
2:23-28,安息日に麦の穂を摘む,12:1-8,,6:1-5,,,,
3:1-6,手の萎えた人を癒やす,12:9-14,,6:6-11,,,,
3:7-12,湖の岸辺の群衆,,,,,,,
3:13-19,十二人を選ぶ,10:1-4,,6:12-16,,,,
3:20-30,ベルゼブル論争,12:22-32,,11:14-23; 12:10,,,,
3:31-35,イエスの母、きょうだい,12:46-50,,8:19-21,,,,
4:1-9,「種を蒔く人」のたとえ,13:1-9,,8:4-8,,,,
4:10-12,たとえを用いて話す理由,13:10-17,,8:9-10,,,,
4:13-20,「種を蒔く人」のたとえの説明,13:18-23,,8:11-15,,,,
4:21-25,「灯」と「秤」のたとえ,,,8:16-18,,,,
4:26-29,「成長する種」のたとえ,,,,,,,
4:30-32,「からし種」のたとえ,13:31-32,,13:18-19,,,,
4:33-34,たとえを用いて語る,13:34-35,,,,,,
4:35-41,突風を静める,8:23-27,,8:22-25,,,,
5:1-20,悪霊に取りつかれたゲラサの人を癒やす,8:28-34,,8:26-39,,,,
5:21-43,ヤイロの娘とイエスの服に触れる女,9:18-26,,8:40-56,,,,
6:1-6,ナザレで受け入れられない,13:53-58,,4:16-30,,,,
6:7-13,十二人を派遣する,10:1; 5-15,,9:1-6,,,,
6:14-29,洗礼者ヨハネ、殺される,14:1-12,,9:7-9,,,,
6:30-44,五千人に食べ物を与える,14:13-21,,9:10-17,,6:1-14,,
6:45-52,湖の上を歩く,14:22-33,,,,6:15-21,,
6:53-56,ゲネサレとで病人を癒やす,14:34-36,,,,,,
7:1-23,昔の人の言い伝え,15:1-20,,,,,,
7:24-30,シリア・フェニキアの女の信仰,15:21-28,,,,,,
7:31-37,耳が聞こえず舌の回らない人を癒やす,,,,,,,
8:1-10,四千人に食べ物を与える,15:32-39,,,,,,
8:11-13,人々はしるしを欲しがる,16:1-4,,,,,,
8:14-21,ファリサイ派の人々とヘロデのパン種,16:5-12,,,,,,
8:22-26,ベトサイダで盲人を癒やす,,,,,,,
8:27-30,ペトロ、イエスがメシアであると告白する,16:13-20,,9:18-21,,,,
8:31-38; 9:1,イエス、死と復活を予告する,16:21-28,,9:22-27,,,,
9:2-13,イエスの姿が変わる,17:1-13,,9:28-36,,,,
9:14-29,汚れた霊に取りつかれた子を癒やす,17:14-20,,9:37-43a,,,,
9:30-32,再び自分の死と復活を予告する,17:22-23,,9:43b-45,,,,
9:33-37,いちばん偉い者,18:1-5,,9:46-48,,,,
9:38-41,逆らわない者は味方,,,9:49-50,,,,
9:42-50,罪への誘惑,18:6-9,,17:1-2,,,,
10:1-12,離婚について教える,19:1-12,,,,,,
10:13-16,子どもを祝福する,19:13-15,,18:15-17,,,,
10:17-31,金持ちの男,19:16-30,,18:18-30,,,,
