日付,登録,対面,遠隔
2023.04.20,21,7,6
2023.04.27,30,5,8
2023.05.04,32,11,2
2023.05.11,35,5,8
2023.05.18,36,5,8
2023.05.25,36,4,5
2023.06.01,36,6,4
2023.06.08,36,5,5
2023.06.15,37,6,7
2023.06.22,37,4,6
2023.06.29,37,5,5 
2023.07.06,37,7,4
2023.07.13,37,5,6
2023.07.20,38,4,4
2023.07.27,38,5,3
2023.08.03,39,6,6
2023.08.10,39,6,5
2023.08.17,39,7,3
2023.08.24,39,6,5
2023.08.31,39,6,1
2023.09.07,39,5,2
2023.09.14,39,5,4
2023.09.21,39,3,2
2023.09.28,39,5,4
2023.10.05,40,6,4
2023.10.12,42,7,5
2023.10.19,44,5,5
2023.10.26,45,5,7
2023.11.02,45,4,2
2023.11.09,46,4,5
2023.11.16,46,,
